candle_begin_time,open,high,low,close,volume
2021-07-07 03:54:00,3.0498,3.0498,3.0496,3.0496,450.88338500000003
2021-07-07 03:55:00,3.0496,3.0697,3.0496,3.0697,4.0133399999999995
2021-07-07 03:57:00,3.0776,3.0777,3.0775,3.0777,196.02412214
2021-07-07 03:58:00,3.065,3.065,3.065,3.065,63.823
2021-07-07 03:59:00,3.065,3.0742,3.042,3.0742,356.54183499999994
2021-07-07 04:00:00,3.056,3.056,3.056,3.056,10.000098
2021-07-07 04:01:00,3.056,3.0666,3.056,3.0666,321.0
2021-07-07 04:02:00,3.0666,3.07,3.056,3.07,537.9668795800001
2021-07-07 04:03:00,3.0421,3.0696,3.0364,3.0696,557.26605225
2021-07-07 04:05:00,3.04,3.0661,3.04,3.0661,5.01
2021-07-07 04:06:00,3.06,3.06,3.06,3.06,609.52081414
2021-07-07 04:07:00,3.06,3.0601,3.06,3.06,1717.28042985
2021-07-07 04:10:00,3.0792,3.0792,3.0792,3.0792,0.28066367
2021-07-07 04:12:00,3.0968,3.1171,3.0853,3.1009,3225.77629201
2021-07-07 04:14:00,3.1081,3.1081,3.108,3.108,160.0
2021-07-07 04:15:00,3.0810000000000004,3.093,3.0810000000000004,3.0810000000000004,999.99954715
2021-07-07 04:17:00,3.0931,3.1091,3.0931,3.1091,120.0
2021-07-07 04:18:00,3.0701,3.09,3.0662,3.0815,660.06685759
2021-07-07 04:21:00,3.0981,3.0981,3.0981,3.0981,1.0
2021-07-07 04:22:00,3.08,3.0980000000000003,3.0508,3.0556,1996.9073008199998
2021-07-07 04:23:00,3.0660000000000003,3.08,3.0512,3.0517,472.21926170999996
2021-07-07 04:24:00,3.06,3.075,3.0505,3.075,79.456422
2021-07-07 04:25:00,3.05,3.05,3.034,3.034,1097.09872035
2021-07-07 04:26:00,3.049,3.05,3.049,3.049,1061.10618612
2021-07-07 04:27:00,3.0634,3.0634,3.05,3.05,88.23025392
2021-07-07 04:28:00,3.0382,3.05,3.0382,3.0384,39.342221900000006
2021-07-07 04:29:00,3.0498,3.0499,3.0393,3.0393,78.605046
2021-07-07 04:30:00,3.0393,3.0642,3.0380000000000003,3.0642,3692.261189
2021-07-07 04:31:00,3.04,3.0496,3.04,3.0496,57.19641641
2021-07-07 04:32:00,3.0411,3.0491,3.035,3.0489,1503.0000000000002
2021-07-07 04:33:00,3.0353,3.0353,3.035,3.035,500.0
2021-07-07 04:34:00,3.035,3.0353,3.035,3.035,7010.311701729999
2021-07-07 04:35:00,3.0349,3.035,3.0180000000000002,3.035,1053.3866441000002
2021-07-07 04:36:00,3.0349,3.035,3.0349,3.035,140.589311
2021-07-07 04:37:00,3.03,3.0398,3.03,3.0398,95.348026
2021-07-07 04:38:00,3.045,3.045,3.045,3.045,1.0
2021-07-07 04:39:00,3.0210000000000004,3.0210000000000004,3.0210000000000004,3.0210000000000004,605.61268801
2021-07-07 04:40:00,3.045,3.045,3.01,3.0109,21906.32
2021-07-07 04:41:00,3.0111,3.025,3.01,3.0119,7322.838
2021-07-07 04:42:00,3.0,3.0384,3.0,3.0381,2948.6260639699994
2021-07-07 04:44:00,3.01,3.0102,3.0099,3.01,2969.6514773099993
2021-07-07 04:45:00,3.0284,3.03,3.0,3.0002,4867.814904350001
2021-07-07 04:46:00,3.01,3.01,3.0,3.0097,1757.22893639
2021-07-07 04:47:00,3.0,3.0097,2.9987,3.0097,2793.8916888500003
2021-07-07 04:48:00,3.0097,3.0097,2.99,2.99,1772.5097313699998
2021-07-07 04:49:00,2.9775,3.009,2.9538,2.99,2671.0432673699997
2021-07-07 04:50:00,2.9901,2.9901,2.9712,2.986,3352.2014584800004
2021-07-07 04:51:00,2.9899,2.99,2.9724,2.9899,972.2266796000001
2021-07-07 04:52:00,2.9744,2.9899,2.9539999999999997,2.9847,303.35567137
2021-07-07 04:53:00,2.9551,2.9888,2.9551,2.9832,272.45342884
2021-07-07 04:54:00,2.983,2.983,2.9645,2.9645,503.95
2021-07-07 04:55:00,2.9655,2.9884,2.9655,2.9884,168.70349607
2021-07-07 04:56:00,2.97,2.9801,2.966,2.9699,3211.3252926699997
2021-07-07 04:57:00,2.9699,2.9793,2.9671,2.9675,1295.21943979
2021-07-07 04:58:00,2.9675,3.009,2.9675,3.009,2774.7257513199993
2021-07-07 04:59:00,3.009,3.009,2.9729,3.0075,933.0578155800001
2021-07-07 05:00:00,3.0066,3.0069999999999997,2.98,3.0,666.3665105
2021-07-07 05:01:00,2.98,2.98,2.977,2.98,399.28743319
2021-07-07 05:02:00,2.9992,2.9992,2.975,2.98,770.0471941200001
2021-07-07 05:03:00,2.975,2.975,2.97,2.971,846.5890994300001
